Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy,Min Val Acc,Max Val Acc,Median Val Acc,Training Time (s),Validation Time (s),Learning Rate,Model Filename
1,1.5910529427051545,42.2925,1.1882476639776185,57.8,36.1,90.4,49.4,76.44747614860535,6.532242298126221,0.001,./models/resnet_03-0.5_best.pth
2,1.1653054249286652,58.66,0.8635494432891139,69.2,29.0,90.7,74.5,76.58657717704773,6.1938371658325195,0.001,./models/resnet_03-0.5_best.pth
3,0.9720364558458329,65.9875,0.7618670664584866,73.24,32.6,94.2,78.4,76.04109311103821,6.170804262161255,0.001,./models/resnet_03-0.5_best.pth
4,0.8494400950431824,70.73,0.6951336218430973,75.84,57.2,93.6,75.6,76.30733561515808,6.577747821807861,0.001,./models/resnet_03-0.5_best.pth
5,0.7606232818603516,73.665,0.5735900464077918,80.22,57.3,93.5,85.25,76.32439541816711,6.18481707572937,0.001,./models/resnet_03-0.5_best.pth
6,0.6947876093745231,75.9425,0.5225520503391831,81.77,65.9,96.6,83.5,76.49215078353882,6.157956600189209,0.001,./models/resnet_03-0.5_best.pth
7,0.6394518212676048,78.0775,0.48664798807447995,83.27,61.9,94.2,86.95,76.26228976249695,6.105530738830566,0.001,./models/resnet_03-0.5_best.pth
8,0.5914822926044464,79.8625,0.5036084672120719,82.54,69.0,94.2,83.6,76.3133475780487,6.234227418899536,0.001,./models/resnet_03-0.5_best.pth
9,0.5506306317448616,81.02,0.4956954472040692,83.28,65.2,95.1,86.55,76.20145678520203,6.38069486618042,0.001,./models/resnet_03-0.5_best.pth
10,0.5180446135759353,82.215,0.41278419389535254,86.0,70.6,94.4,86.95,76.32320499420166,6.245327472686768,0.001,./models/resnet_03-0.5_best.pth
11,0.4837207639217377,83.325,0.38500489314167075,86.57,63.2,95.1,90.5,76.59703779220581,6.1546618938446045,0.001,./models/resnet_03-0.5_best.pth
12,0.45477702207565307,84.4425,0.40558437174096845,86.28,72.8,96.9,87.2,76.77139472961426,6.196566820144653,0.001,./models/resnet_03-0.5_best.pth
13,0.4226524703502655,85.205,0.39833623212360486,86.7,78.5,95.5,86.2,76.82232332229614,6.1007161140441895,0.001,./models/resnet_03-0.5_best.pth
14,0.40695205181241034,85.805,0.3569520376087092,87.97,77.8,95.9,87.7,76.24790811538696,6.068071365356445,0.001,./models/resnet_03-0.5_best.pth
15,0.37948066537976266,86.64,0.3609007957425659,87.9,70.1,95.3,90.25,76.15809559822083,6.275749206542969,0.001,./models/resnet_03-0.5_best.pth
16,0.35451505594849586,87.7325,0.37941485132833125,87.16,62.2,96.3,89.25,76.28299069404602,6.2673492431640625,0.001,./models/resnet_03-0.5_best.pth
17,0.3381984915226698,88.2,0.357512218996692,88.04,74.3,95.0,88.94999999999999,76.27793216705322,6.600121021270752,0.001,./models/resnet_03-0.5_best.pth
18,0.3219817847818136,88.735,0.396154083884522,87.52,74.0,97.0,89.15,76.34457921981812,6.186557769775391,0.001,./models/resnet_03-0.5_best.pth
19,0.30712060901224614,89.4,0.3790833136709682,88.11,68.7,97.1,89.8,76.56261849403381,6.25629734992981,0.001,./models/resnet_03-0.5_best.pth
20,0.287547807726264,90.04,0.36957217466860515,87.97,73.0,97.2,89.85,76.73764872550964,6.186137676239014,0.001,./models/resnet_03-0.5_best.pth
21,0.22125156278684735,92.2825,0.30984730903057756,90.15,78.7,95.2,91.5,77.02304577827454,6.148028373718262,0.0005,./models/resnet_03-0.5_best.pth
22,0.1987547381222248,93.1575,0.31600688774532565,90.17,79.7,96.4,91.65,76.17551565170288,6.475317001342773,0.0005,./models/resnet_03-0.5_best.pth
23,0.18016785167455673,93.715,0.32155194227898365,90.3,77.3,97.3,90.75,76.27503824234009,6.135226488113403,0.0005,./models/resnet_03-0.5_best.pth
24,0.17792571849524974,93.805,0.32967556218751304,90.22,77.5,97.2,91.85,76.22155833244324,6.0933897495269775,0.0005,./models/resnet_03-0.5_best.pth
25,0.16627342519201338,94.2625,0.3351699452195986,90.0,79.3,96.7,91.1,76.23116946220398,6.150893688201904,0.0005,./models/resnet_03-0.5_best.pth
26,0.15752042478471995,94.48,0.34793887721011435,90.29,81.9,95.9,91.05000000000001,76.29320240020752,6.166945934295654,0.0005,./models/resnet_03-0.5_best.pth
27,0.15201401877626777,94.795,0.342250328877773,90.17,81.0,97.0,91.1,76.23399829864502,6.134063720703125,0.0005,./models/resnet_03-0.5_best.pth
28,0.12043108831942081,95.9025,0.32350543804300097,90.94,81.3,97.0,90.9,76.24135708808899,6.13247537612915,0.00025,./models/resnet_03-0.5_best.pth
29,0.11219188651442527,96.1525,0.3307056725713255,90.96,81.6,96.9,91.9,76.25773024559021,6.090481996536255,0.00025,./models/resnet_03-0.5_best.pth
30,0.10481358981737866,96.3575,0.33151890501290143,91.28,81.8,97.1,92.0,76.00507426261902,6.493029594421387,0.00025,./models/resnet_03-0.5_best.pth
31,0.10262481842152775,96.5825,0.33307106064191977,90.91,82.1,95.8,92.6,76.15329241752625,6.2619853019714355,0.00025,./models/resnet_03-0.5_best.pth
32,0.09711431256579235,96.735,0.32999459944230314,91.23,79.8,97.5,92.55000000000001,76.58250880241394,6.60520339012146,0.00025,./models/resnet_03-0.5_best.pth
33,0.08965466698314994,96.9025,0.347946004628926,91.04,82.1,96.8,92.0,77.01825022697449,6.436460018157959,0.00025,./models/resnet_03-0.5_best.pth
34,0.0807918720995076,97.31,0.34192732664059194,91.1,79.4,96.4,91.95,76.09796452522278,6.170458078384399,0.000125,./models/resnet_03-0.5_best.pth
35,0.07440287995375693,97.4775,0.33573259265833877,91.41,79.7,96.8,93.0,76.2004623413086,6.3934736251831055,0.000125,./models/resnet_03-0.5_best.pth
36,0.07166920382794924,97.5475,0.3392055078700232,91.37,80.6,96.9,92.35,76.43059086799622,6.15053129196167,0.000125,./models/resnet_03-0.5_best.pth
37,0.06957509975470602,97.59,0.34795406371667575,91.41,81.7,97.2,92.25,76.14813709259033,6.183211088180542,0.000125,./models/resnet_03-0.5_best.pth
38,0.0680217420660425,97.69,0.34851479906599114,91.57,83.9,96.6,92.44999999999999,76.38664317131042,6.447169065475464,0.000125,./models/resnet_03-0.5_best.pth
39,0.06726367939710617,97.715,0.3549949331723756,91.42,82.6,96.9,92.45,76.35807776451111,6.159424543380737,0.000125,./models/resnet_03-0.5_best.pth
40,0.06299307708297856,97.8425,0.3447592972082895,91.49,80.9,96.8,93.25,76.32165360450745,6.192628622055054,6.25e-05,./models/resnet_03-0.5_best.pth
41,0.05688044889874291,98.07,0.34762145107637793,91.63,83.7,96.6,92.4,76.1830427646637,6.140970230102539,6.25e-05,./models/resnet_03-0.5_best.pth
42,0.05836068127197214,97.975,0.3515152605320448,91.74,83.1,97.0,93.6,76.2309136390686,6.178320407867432,6.25e-05,./models/resnet_03-0.5_best.pth
43,0.054352635646471754,98.1525,0.35003751792789034,91.54,82.9,97.0,92.25,77.00270128250122,6.380577564239502,6.25e-05,./models/resnet_03-0.5_best.pth
44,0.05824852792592719,98.055,0.3571410291695214,91.64,81.4,96.3,93.0,76.54517793655396,6.8524088859558105,6.25e-05,./models/resnet_03-0.5_best.pth
45,0.052384962331783025,98.26,0.3599033668970238,91.52,80.7,96.7,92.5,76.46291780471802,6.495858907699585,6.25e-05,./models/resnet_03-0.5_best.pth
46,0.05115793246207759,98.2975,0.35548149735905826,91.81,81.1,97.1,92.6,76.59850549697876,6.654147624969482,3.125e-05,./models/resnet_03-0.5_best.pth
47,0.04863290504948236,98.38,0.35249374826403124,91.85,83.2,96.8,92.45,77.04402756690979,6.209122180938721,3.125e-05,./models/resnet_03-0.5_best.pth
48,0.05045812107459642,98.3475,0.34957906356123186,91.9,84.3,97.1,92.69999999999999,76.9794352054596,6.672963380813599,3.125e-05,./models/resnet_03-0.5_best.pth
49,0.0500225440312177,98.2775,0.3501486638151909,91.9,83.9,96.9,92.9,76.60837650299072,6.211795330047607,3.125e-05,./models/resnet_03-0.5_best.pth
50,0.04666223351834342,98.44,0.3581398660147601,91.62,82.2,96.9,93.0,76.09181118011475,6.242222785949707,3.125e-05,./models/resnet_03-0.5_best.pth
